No Scaldown:2025-03-20 20:59:54 - GPU 0: Utilization: 2% | Avg TTFT: 0.0 s | Avg TPOT: 0.0 s | Avg Waiting Queue Length: 0
No Scaldown:2025-03-20 20:59:54 - GPU 1: Utilization: 2% | Avg TTFT: 0.0 s | Avg TPOT: 0.0 s | Avg Waiting Queue Length: 0
No Scaldown:2025-03-20 20:59:54 - GPU 2: Utilization: 2% | Avg TTFT: 0.0 s | Avg TPOT: 0.0 s | Avg Waiting Queue Length: 0
No Scaldown:2025-03-20 20:59:54 - GPU 3: Utilization: 2% | Avg TTFT: 0.0 s | Avg TPOT: 0.0 s | Avg Waiting Queue Length: 0
No Scaldown:2025-03-20 21:00:09 - GPU 0: Utilization: 2.066666666666667% | Avg TTFT: 0.0 s | Avg TPOT: 0.0 s | Avg Waiting Queue Length: 0.0
No Scaldown:2025-03-20 21:00:09 - GPU 1: Utilization: 2.0% | Avg TTFT: 0.0 s | Avg TPOT: 0.0 s | Avg Waiting Queue Length: 0.0
No Scaldown:2025-03-20 21:00:09 - GPU 2: Utilization: 2.0% | Avg TTFT: 0.0 s | Avg TPOT: 0.0 s | Avg Waiting Queue Length: 0.0
No Scaldown:2025-03-20 21:00:09 - GPU 3: Utilization: 2.0% | Avg TTFT: 0.0 s | Avg TPOT: 0.0 s | Avg Waiting Queue Length: 0.0
No Scaldown:2025-03-20 21:00:24 - GPU 0: Utilization: 15.0% | Avg TTFT: 0.49490508741388717 s | Avg TPOT: 0.03770058925147168 s | Avg Waiting Queue Length: 0.0
No Scaldown:2025-03-20 21:00:24 - GPU 1: Utilization: 9.714285714285714% | Avg TTFT: 0.12674345827351013 s | Avg TPOT: 0.0 s | Avg Waiting Queue Length: 0.0
No Scaldown:2025-03-20 21:00:24 - GPU 2: Utilization: 9.071428571428571% | Avg TTFT: 0.12018336774005244 s | Avg TPOT: 0.0 s | Avg Waiting Queue Length: 0.0
No Scaldown:2025-03-20 21:00:24 - GPU 3: Utilization: 10.071428571428571% | Avg TTFT: 0.1808645982760936 s | Avg TPOT: 0.0 s | Avg Waiting Queue Length: 0.0
